"ObjectId","Days in Stage 1 Growth","Days in Stage 2 Growth","Days in Stage 3 Growth","Days in Stage 4 Growth","Days in Stage 5 Growth","Growth Seasons","Index In Sprite Sheet","Index Of Harvest","Regrow After Harvest","Harvest Method","Chance For Extra Harvest","Min Extra Harvest","Max Extra Harvest","Max Harvest Increase Per Farming Level","Chance For Extra Crops","Raised Seeds","Tint Color"
"490","1","2","3","4","3","fall","18","276","-1","0","false","NA","NA","NA","NA","false","false"
"491","1","1","1","1","NA","fall","19","278","-1","0","false","NA","NA","NA","NA","false","false"
"492","1","3","3","3","NA","fall","20","280","-1","0","false","NA","NA","NA","NA","false","false"
"273","1","2","2","3","NA","spring","34","271","-1","1","true","1","1","10",".1","false","false"
"493","1","2","1","1","2","fall","21","282","5","0","true","2","2","0",".1","false","false"
"472","1","1","1","1","NA","spring","0","24","-1","0","false","NA","NA","NA","NA","false","false"
"494","1","1","2","2","NA","fall","22","284","-1","0","false","NA","NA","NA","NA","false","false"
"890","1","1","1","1","NA","spring summer fall winter","47","889","-1","0","false","NA","NA","NA","NA","false","false"
"473","1","1","1","3","4","spring","1","188","3","0","false","NA","NA","NA","NA","true","false"
"495","3","4","NA","NA","NA","spring","23","16","-1","0","false","NA","NA","NA","NA","false","false"
"474","1","2","4","4","1","spring","2","190","-1","0","false","NA","NA","NA","NA","false","false"
"496","3","4","NA","NA","NA","summer","23","396","-1","0","false","NA","NA","NA","NA","false","false"
"299","1","2","2","2","NA","fall","39","300","-1","1","false","NA","NA","NA","NA","false","false"
"431","1","2","3","2","NA","summer fall","30","421","-1","0","false","NA","NA","NA","NA","false","false"
"453","1","2","2","2","NA","summer","28","376","-1","0","false","NA","NA","NA","NA","false","true 255 0 0 254 254 254 255 170 0"
"475","1","1","1","2","1","spring","3","192","-1","0","true","1","1","0",".2","false","false"
"497","3","4","NA","NA","NA","fall","23","404","-1","0","false","NA","NA","NA","NA","false","false"
"476","1","1","1","1","NA","spring","4","248","-1","0","false","NA","NA","NA","NA","false","false"
"498","3","4","NA","NA","NA","winter","23","412","-1","0","false","NA","NA","NA","NA","false","false"
"433","1","2","2","3","2","spring summer","40","433","2","0","true","4","4","0",".02","false","false"
"455","1","2","3","2","NA","summer","29","593","-1","0","false","NA","NA","NA","NA","false","true 0 208 255 99 255 210 255 212 0 255 144 122 255 0 238 206 91 255"
"477","1","2","2","1","NA","spring","5","250","-1","1","false","NA","NA","NA","NA","false","false"
"499","2","7","7","7","5","spring summer fall","24","454","7","0","false","NA","NA","NA","NA","false","false"
"478","2","2","2","3","4","spring","6","252","-1","0","false","NA","NA","NA","NA","false","false"
"479","1","2","3","3","3","summer","7","254","-1","0","false","NA","NA","NA","NA","false","false"
"831","1","2","3","4","NA","summer","42","830","-1","0","false","NA","NA","NA","NA","false","false"
"833","1","3","3","4","3","summer","43","832","7","0","false","NA","NA","NA","NA","false","false"
"480","2","2","2","2","3","summer","8","256","4","0","true","1","1","0",".05","false","false"
"481","1","3","3","4","2","summer","9","258","4","0","true","3","3","0",".02","false","false"
"482","1","1","1","1","1","summer","10","260","3","0","true","1","1","0",".03","false","false"
"483","1","1","1","1","NA","summer fall","11","262","-1","1","false","NA","NA","NA","NA","false","false"
"484","2","1","2","1","NA","summer","12","264","-1","0","false","NA","NA","NA","NA","false","false"
"485","2","1","2","2","2","summer","13","266","-1","0","false","NA","NA","NA","NA","false","false"
"486","2","3","2","3","3","summer","14","268","-1","0","false","NA","NA","NA","NA","false","false"
"487","2","3","3","3","3","summer fall","15","270","4","0","false","NA","NA","NA","NA","false","false"
"301","1","1","2","3","3","fall","38","398","3","0","false","NA","NA","NA","NA","true","false"
"488","1","1","1","1","1","fall","16","272","5","0","true","1","1","0",".002","false","false"
"302","1","1","2","3","4","summer","37","304","1","0","false","NA","NA","NA","NA","true","false"
"489","2","2","1","2","1","fall","17","274","-1","0","false","NA","NA","NA","NA","false","false"
"885","1","2","2","2","NA","spring summer fall winter","44","771","-1","1","true","4","7","0",".01","false","false"
"347","2","4","6","6","6","fall","32","417","-1","0","false","NA","NA","NA","NA","false","false"
"425","1","4","4","3","NA","fall","31","595","-1","0","false","NA","NA","NA","NA","false","true 187 0 255 119 137 255 71 227 255 255 127 144 205 178 255 140 119 255"
"745","1","1","2","2","2","spring","36","400","4","0","true","1","1","0",".02","false","false"
"427","1","1","2","2","NA","spring","26","591","-1","0","false","NA","NA","NA","NA","false","true 255 186 255 223 191 255 255 246 0 255 80 0 255 158 193"
"802","2","2","2","3","3","spring summer fall winter","41","90","3","0","false","NA","NA","NA","NA","false","false"
"429","1","2","2","2","NA","spring","27","597","-1","0","false","NA","NA","NA","NA","false","true 35 127 255 109 131 255 112 207 255 191 228 255 94 121 255 40 150 255"
