"Object Id","Name","Price","Edibility","Type","Category","English Name","Description","Food Or Drink","Buff Farming","Buff Fishing","Buff Mining","Buff Digging (unimplemented)","Buff Luck","Buff Foraging","Buff Crafting","Buff Max Energy","Buff Magnetism","Buff Speed","Buff Defense","Buff Duration"
"194","Fried Egg","35","20","Cooking","-7","Fried Egg","Sunny-side up.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Omelet","125","40","Cooking","-7","Omelet","It's super fluffy.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Salad","110","45","Cooking","-7","Salad","A healthy garden salad.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Cheese Cauliflower","300","55","Cooking","-7","Cheese Cauliflower","It smells great!","food","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Baked Fish","100","30","Cooking","-7","Baked Fish","Baked fish on a bed of herbs.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Parsnip Soup","120","34","Cooking","-7","Parsnip Soup","It's fresh and hearty.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Vegetable Medley","120","66","Cooking","-7","Vegetable Medley","This is very nutritious.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Complete Breakfast","350","80","Cooking","-7","Complete Breakfast","You'll feel ready to take on the world!","food","2","0","0","0","0","0","0","50","0","0","0","600"
"202","Fried Calamari","150","32","Cooking","-7","Fried Calamari","It's so chewy.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Strange Bun","225","40","Cooking","-7","Strange Bun","What's inside?","food","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Lucky Lunch","250","40","Cooking","-7","Lucky Lunch","A special little meal.","food","0","0","0","0","3","0","0","0","0","0","0","960"
"205","Fried Mushroom","200","54","Cooking","-7","Fried Mushroom","Earthy and aromatic.","food","0","0","0","0","0","0","0","0","0","0","0","600"
"206","Pizza","300","60","Cooking","-7","Pizza","It's popular for all the right reasons.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Bean Hotpot","100","50","Cooking","-7","Bean Hotpot","It sure is healthy.","food","0","0","0","0","0","0","0","30","32","0","0","600"
"208","Glazed Yams","200","80","Cooking","-7","Glazed Yams","Sweet and satisfying... The sugar gives it a hint of caramel.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Carp Surprise","150","36","Cooking","-7","Carp Surprise","It's bland and oily.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Hashbrowns","120","36","Cooking","-7","Hashbrowns","Crispy and golden-brown!","food","1","0","0","0","0","0","0","0","0","0","0","480"
"211","Pancakes","80","36","Cooking","-7","Pancakes","A double stack of fluffy, soft pancakes.","food","0","0","0","0","0","2","0","0","0","0","0","960"
"212","Salmon Dinner","300","50","Cooking","-7","Salmon Dinner","The lemon spritz makes it special.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Fish Taco","500","66","Cooking","-7","Fish Taco","It smells delicious.","food","0","2","0","0","0","0","0","0","0","0","0","600"
"214","Crispy Bass","150","36","Cooking","-7","Crispy Bass","Wow, the breading is perfect.","food","0","0","0","0","0","0","0","0","64","0","0","600"
"215","Pepper Poppers","200","52","Cooking","-7","Pepper Poppers","Spicy breaded peppers filled with cheese.","food","2","0","0","0","0","0","0","0","0","1","0","600"
"216","Bread","60","20","Cooking","-7","Bread","A crusty baguette.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Tom Kha Soup","250","70","Cooking","-7","Tom Kha Soup","These flavors are incredible!","food","2","0","0","0","0","0","0","30","0","0","0","600"
"219","Trout Soup","100","40","Cooking","-7","Trout Soup","Pretty salty.","food","0","1","0","0","0","0","0","0","0","0","0","400"
"220","Chocolate Cake","200","60","Cooking","-7","Chocolate Cake","Rich and moist with a thick fudge icing.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Pink Cake","480","100","Cooking","-7","Pink Cake","There's little heart candies on top.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"222","Rhubarb Pie","400","86","Cooking","-7","Rhubarb Pie","Mmm, tangy and sweet!","food","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Cookie","140","36","Cooking","-7","Cookie","Very chewy.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Spaghetti","120","30","Cooking","-7","Spaghetti","An old favorite.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Fried Eel","120","30","Cooking","-7","Fried Eel","Greasy but flavorful.","food","0","0","0","0","1","0","0","0","0","0","0","600"
"226","Spicy Eel","175","46","Cooking","-7","Spicy Eel","It's really spicy! Be careful.","food","0","0","0","0","1","0","0","0","0","1","0","600"
"227","Sashimi","75","30","Cooking","-7","Sashimi","Raw fish sliced into thin pieces.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Maki Roll","220","40","Cooking","-7","Maki Roll","Fish and rice wrapped in seaweed.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Tortilla","50","20","Cooking","-7","Tortilla","Can be used as a vessel for food or eaten by itself.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Red Plate","400","96","Cooking","-7","Red Plate","Full of antioxidants.","food","0","0","0","0","0","0","0","50","0","0","0","300"
"231","Eggplant Parmesan","200","70","Cooking","-7","Eggplant Parmesan","Tangy, cheesy, and wonderful.","food","0","0","1","0","0","0","0","0","0","0","3","400"
"232","Rice Pudding","260","46","Cooking","-7","Rice Pudding","It's creamy, sweet, and fun to eat.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Ice Cream","120","40","Cooking","-7","Ice Cream","It's hard to find someone who doesn't like this.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Blueberry Tart","150","50","Cooking","-7","Blueberry Tart","It's subtle and refreshing.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Autumn's Bounty","350","88","Cooking","-7","Autumn's Bounty","A taste of the season.","food","0","0","0","0","0","2","0","0","0","0","2","660"
"236","Pumpkin Soup","300","80","Cooking","-7","Pumpkin Soup","A seasonal favorite.","food","0","0","0","0","2","0","0","0","0","0","2","660"
"237","Super Meal","220","64","Cooking","-7","Super Meal","It's a really energizing meal.","food","0","0","0","0","0","0","0","40","0","1","0","300"
"238","Cranberry Sauce","120","50","Cooking","-7","Cranberry Sauce","A festive treat.","food","0","0","2","0","0","0","0","0","0","0","0","300"
"239","Stuffing","165","68","Cooking","-7","Stuffing","Ahh... the smell of warm bread and sage.","food","0","0","0","0","0","0","0","0","0","0","2","480"
"240","Farmer's Lunch","150","80","Cooking","-7","Farmer's Lunch","This'll keep you going.","food","3","0","0","0","0","0","0","0","0","0","0","480"
"241","Survival Burger","180","50","Cooking","-7","Survival Burger","A convenient snack for the explorer.","food","0","0","0","0","0","3","0","0","0","0","0","480"
"242","Dish O' The Sea","220","60","Cooking","-7","Dish O' The Sea","This'll keep you warm in the cold sea air.","food","0","3","0","0","0","0","0","0","0","0","0","480"
"243","Miner's Treat","200","50","Cooking","-7","Miner's Treat","This should keep your energy up.","food","0","0","3","0","0","0","0","0","32","0","0","480"
"244","Roots Platter","100","50","Cooking","-7","Roots Platter","This'll get you digging for more.","food","0","0","0","0","0","0","0","0","0","0","0","480"
"279","Magic Rock Candy","5000","200","Cooking","-7","Magic Rock Candy","A rare and powerful candy infused with the essence of the prismatic shard.","food","0","0","2","0","5","0","0","0","0","1","5","720"
"456","Algae Soup","100","30","Cooking","-7","Algae Soup","It's a little slimy.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"457","Pale Broth","150","50","Cooking","-7","Pale Broth","A delicate broth with a hint of sulfur.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"604","Plum Pudding","260","70","Cooking","-7","Plum Pudding","A traditional holiday treat.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"605","Artichoke Dip","210","40","Cooking","-7","Artichoke Dip","It's cool and refreshing.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"606","Stir Fry","335","80","Cooking","-7","Stir Fry","Julienned vegetables on a bed of rice.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"607","Roasted Hazelnuts","270","70","Cooking","-7","Roasted Hazelnuts","The roasting process creates a rich forest flavor.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"608","Pumpkin Pie","385","90","Cooking","-7","Pumpkin Pie","Silky pumpkin cream in a flakey crust.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"609","Radish Salad","300","80","Cooking","-7","Radish Salad","The radishes are so crisp!","food","0","0","0","0","0","0","0","0","0","0","0","0"
"610","Fruit Salad","450","105","Cooking","-7","Fruit Salad","A delicious combination of summer fruits.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"611","Blackberry Cobbler","260","70","Cooking","-7","Blackberry Cobbler","There's nothing quite like it.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"618","Bruschetta","210","45","Cooking","-7","Bruschetta","Roasted tomatoes on a crisp white bread.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"648","Coleslaw","345","85","Cooking","-7","Coleslaw","It's light, fresh and very healthy.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"649","Fiddlehead Risotto","350","90","Cooking","-7","Fiddlehead Risotto","A creamy rice dish served with sauteed fern heads. It's a little bland.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"651","Poppyseed Muffin","250","60","Cooking","-7","Poppyseed Muffin","It has a soothing effect.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"727","Chowder","135","90","Cooking","-7","Chowder","A perfect way to warm yourself after a cold night at sea.","food","0","1","0","0","0","0","0","0","0","0","0","1440"
"730","Lobster Bisque","205","90","Cooking","-7","Lobster Bisque","This delicate soup is a secret family recipe of Willy's.","food","0","3","0","0","0","0","0","50","0","0","0","1440"
"728","Fish Stew","175","90","Cooking","-7","Fish Stew","It smells a lot like the sea. Tastes better, though.","food","0","3","0","0","0","0","0","0","0","0","0","1440"
"729","Escargot","125","90","Cooking","-7","Escargot","Butter-soaked snails cooked to perfection.","food","0","2","0","0","0","0","0","0","0","0","0","1440"
"731","Maple Bar","300","90","Cooking","-7","Maple Bar","It's a sweet doughnut topped with a rich maple glaze.","food","1","1","1","0","0","0","0","0","0","0","0","1440"
"732","Crab Cakes","275","90","Cooking","-7","Crab Cakes","Crab, bread crumbs, and egg formed into patties then fried to a golden brown.","food","0","0","0","0","0","0","0","0","0","1","1","1440"
"733","Shrimp Cocktail","160","90","Cooking","-7","Shrimp Cocktail","A sumptuous appetizer made with freshly-caught shrimp.","food","0","1","0","0","1","0","0","0","0","0","0","860"
"265","Seafoam Pudding","300","70","Cooking","-7","Seafoam Pudding","This briny pudding will really get you into the maritime mindset!","food","0","4","0","0","0","0","0","0","0","0","0","300"
"904","Banana Pudding","260","50","Cooking","-7","Banana Pudding","A creamy dessert with a wonderful tropical flavor.","food","0","0","1","0","1","0","0","0","0","0","1","430"
"905","Mango Sticky Rice","250","45","Cooking","-7","Mango Sticky Rice","Sweet mango and coconut transforms this rice into something very special.","food","0","0","0","0","0","0","0","0","0","0","3","430"
"906","Poi","400","30","Cooking","-7","Poi","A traditional food with a delicate, sweet flavor when eaten fresh.","food","0","0","0","0","0","0","0","0","0","0","0","0"
"907","Tropical Curry","500","60","Cooking","-7","Tropical Curry","An exotic, fragrant curry served in a pineapple bowl.","food","0","0","0","0","0","4","0","0","0","0","0","430"
"921","Squid Ink Ravioli","150","50","Cooking","-7","Squid Ink Ravioli","Temporarily protects from debuffs.","food","0","0","1","0","0","0","0","0","0","0","0","400"
"167","Joja Cola","25","5","Fish","-20","Joja Cola","The flagship product of Joja corporation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"184","Milk","125","15","Basic","-6","Milk","A jug of cow's milk.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"186","Large Milk","190","20","Basic","-6","Large Milk","A large jug of cow's milk.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Oil","100","5","Basic","","Oil","All purpose cooking oil.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Triple Shot Espresso","450","3","Cooking","-7","Triple Shot Espresso","It's more potent than regular coffee!","drink","0","0","0","0","0","0","0","0","0","1","0","360"
"303","Pale Ale","300","20","Basic","-26","Pale Ale","Drink in moderation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"346","Beer","200","20","Basic","-26","Beer","Drink in moderation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"348","Wine","400","20","Basic","-26","Wine","Drink in moderation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"349","Energy Tonic","500","200","Crafting","","Energy Tonic","Restores a lot of energy.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Juice","150","30","Basic","-26","Juice","A sweet, nutritious beverage.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"351","Muscle Remedy","500","20","Crafting","","Muscle Remedy","When you've pushed your body too hard, drink this to remove 'Exhaustion'.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"395","Coffee","150","1","Crafting","","Coffee","It smells delicious. This is sure to give you a boost.","drink","0","0","0","0","0","0","0","0","0","1","0","120"
"419","Vinegar","100","5","Basic","","Vinegar","An aged fermented liquid used in many cooking recipes.","drink",,,,,,,,,,,,
"432","Truffle Oil","1065","15","Basic","-26","Truffle Oil","A gourmet cooking ingredient.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"436","Goat Milk","225","25","Basic","-6","Goat Milk","The milk of a goat.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
