"ObjectId","Name","Sell Price","Edibility","Type","Category","English Name","English Description"
"273","Rice Shoot","20","-300","Seeds","-74","Rice Shoot","Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe."
"299","Amaranth Seeds","35","-300","Seeds","-74","Amaranth Seeds","Plant these in the fall. Takes 7 days to grow. Harvest with the scythe."
"301","Grape Starter","30","-300","Seeds","-74","Grape Starter","Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
"302","Hops Starter","30","-300","Seeds","-74","Hops Starter","Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
"347","Rare Seed","200","-300","Seeds","-74","Rare Seed","Sow in fall. Takes all season to grow."
"425","Fairy Seeds","100","-300","Seeds","-74","Fairy Seeds","Plant in fall. Takes 12 days to produce a mysterious flower. Assorted Colors."
"427","Tulip Bulb","10","-300","Seeds","-74","Tulip Bulb","Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors."
"429","Jazz Seeds","15","-300","Seeds","-74","Jazz Seeds","Plant in spring. Takes 7 days to produce a blue puffball flower."
"431","Sunflower Seeds","20","-300","Seeds","-74","Sunflower Seeds","Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest."
"433","Coffee Bean","15","-300","Seeds","-74","Coffee Bean","Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee."
"453","Poppy Seeds","50","-300","Seeds","-74","Poppy Seeds","Plant in summer. Produces a bright red flower in 7 days."
"455","Spangle Seeds","25","-300","Seeds","-74","Spangle Seeds","Plant in summer. Takes 8 days to produce a vibrant tropical flower. Assorted colors."
"472","Parsnip Seeds","10","-300","Seeds","-74","Parsnip Seeds","Plant these in the spring. Takes 4 days to mature."
"473","Bean Starter","30","-300","Seeds","-74","Bean Starter","Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis."
"474","Cauliflower Seeds","40","-300","Seeds","-74","Cauliflower Seeds","Plant these in the spring. Takes 12 days to produce a large cauliflower."
"475","Potato Seeds","25","-300","Seeds","-74","Potato Seeds","Plant these in the spring. Takes 6 days to mature, and has a chance of yielding multiple potatoes at harvest."
"476","Garlic Seeds","20","-300","Seeds","-74","Garlic Seeds","Plant these in the spring. Takes 4 days to mature."
"477","Kale Seeds","35","-300","Seeds","-74","Kale Seeds","Plant these in the spring. Takes 6 days to mature. Harvest with the scythe."
"478","Rhubarb Seeds","50","-300","Seeds","-74","Rhubarb Seeds","Plant these in the spring. Takes 13 days to mature."
"479","Melon Seeds","40","-300","Seeds","-74","Melon Seeds","Plant these in the summer. Takes 12 days to mature."
"480","Tomato Seeds","25","-300","Seeds","-74","Tomato Seeds","Plant these in the summer. Takes 11 days to mature, and continues to produce after first harvest."
"481","Blueberry Seeds","40","-300","Seeds","-74","Blueberry Seeds","Plant these in the summer. Takes 13 days to mature, and continues to produce after first harvest."
"482","Pepper Seeds","20","-300","Seeds","-74","Pepper Seeds","Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest."
"483","Wheat Seeds","5","-300","Seeds","-74","Wheat Seeds","Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe."
"484","Radish Seeds","20","-300","Seeds","-74","Radish Seeds","Plant these in the summer. Takes 6 days to mature."
"485","Red Cabbage Seeds","50","-300","Seeds","-74","Red Cabbage Seeds","Plant these in the summer. Takes 9 days to mature."
"486","Starfruit Seeds","200","-300","Seeds","-74","Starfruit Seeds","Plant these in the summer. Takes 13 days to mature."
"487","Corn Seeds","75","-300","Seeds","-74","Corn Seeds","Plant these in the summer or fall. Takes 14 days to mature, and continues to produce after first harvest."
"488","Eggplant Seeds","10","-300","Seeds","-74","Eggplant Seeds","Plant these in the fall. Takes 5 days to mature, and continues to produce after first harvest."
"489","Artichoke Seeds","15","-300","Seeds","-74","Artichoke Seeds","Plant these in the fall. Takes 8 days to mature."
"490","Pumpkin Seeds","50","-300","Seeds","-74","Pumpkin Seeds","Plant these in the fall. Takes 13 days to mature."
"491","Bok Choy Seeds","25","-300","Seeds","-74","Bok Choy Seeds","Plant these in the fall. Takes 4 days to mature."
"492","Yam Seeds","30","-300","Seeds","-74","Yam Seeds","Plant these in the fall. Takes 10 days to mature."
"493","Cranberry Seeds","120","-300","Seeds","-74","Cranberry Seeds","Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest."
"494","Beet Seeds","10","-300","Seeds","-74","Beet Seeds","Plant these in the fall. Takes 6 days to mature."
"495","Spring Seeds","35","-300","Seeds","-74","Spring Seeds","An assortment of wild spring seeds."
"496","Summer Seeds","55","-300","Seeds","-74","Summer Seeds","An assortment of wild summer seeds."
"497","Fall Seeds","45","-300","Seeds","-74","Fall Seeds","An assortment of wild fall seeds."
"498","Winter Seeds","30","-300","Seeds","-74","Winter Seeds","An assortment of wild winter seeds."
"499","Ancient Seeds","30","-300","Seeds","-74","Ancient Seeds","Could these still grow?"
"745","Strawberry Seeds","0","-300","Seeds","-74","Strawberry Seeds","Plant these in spring. Takes 8 days to mature, and keeps producing strawberries after that."
"770","Mixed Seeds","0","-300","Seeds","-74","Mixed Seeds","There's a little bit of everything here. Plant them and see what grows!"
"802","Cactus Seeds","0","-300","Seeds","-74","Cactus Seeds","Can only be grown indoors. Takes 12 days to mature, and then produces fruit every 3 days."
